"","縣市","年","年齡別","就診人數"
"158","屏東縣","2015","六十五以上",2614578
"159","屏東縣","2015","十五到二十四",561727
"160","屏東縣","2015","五到十四",677212
"161","屏東縣","2016","二十五到六十四",4143580
"162","屏東縣","2016","零到四",501830
"163","屏東縣","2016","六十五以上",2667583
"164","屏東縣","2016","十五到二十四",563758
"165","屏東縣","2016","五到十四",673288
"166","臺北市","2014","二十五到六十四",18311497
"167","臺北市","2014","零到四",1462308
"168","臺北市","2014","六十五以上",9128721
"169","臺北市","2014","十五到二十四",2202286
"170","臺北市","2014","五到十四",2362454
"171","臺北市","2015","二十五到六十四",17902437
"172","臺北市","2015","零到四",1426266
"173","臺北市","2015","六十五以上",9253449
"174","臺北市","2015","十五到二十四",2105505
"175","臺北市","2015","五到十四",2072709
"176","臺北市","2016","二十五到六十四",18189536
"177","臺北市","2016","零到四",1526388
"178","臺北市","2016","六十五以上",9643309
"179","臺北市","2016","十五到二十四",2162200
"180","臺北市","2016","五到十四",2125292
"181","臺東縣","2014","二十五到六十四",1011547
"182","臺東縣","2014","零到四",94163
"183","臺東縣","2014","六十五以上",630615
"184","臺東縣","2014","十五到二十四",117308
"185","臺東縣","2014","五到十四",151423
"186","臺東縣","2015","二十五到六十四",982264
"187","臺東縣","2015","零到四",89605
"188","臺東縣","2015","六十五以上",622240
"189","臺東縣","2015","十五到二十四",112194
"190","臺東縣","2015","五到十四",135707
"191","臺東縣","2016","二十五到六十四",993077
"192","臺東縣","2016","零到四",90506
"193","臺東縣","2016","六十五以上",621421
"194","臺東縣","2016","十五到二十四",115574
"195","臺東縣","2016","五到十四",133242
"196","臺南市","2014","二十五到六十四",11888882
"197","臺南市","2014","零到四",1370572
"198","臺南市","2014","六十五以上",5395101
"199","臺南市","2014","十五到二十四",1654218
"200","臺南市","2014","五到十四",2012011
"201","臺南市","2015","二十五到六十四",11576618
"202","臺南市","2015","零到四",1316973
"203","臺南市","2015","六十五以上",5440378
"204","臺南市","2015","十五到二十四",1565670
"205","臺南市","2015","五到十四",1713788
"206","臺南市","2016","二十五到六十四",11579640
"207","臺南市","2016","零到四",1368075
"208","臺南市","2016","六十五以上",5616904
"209","臺南市","2016","十五到二十四",1560438
"210","臺南市","2016","五到十四",1763848
"211","臺中市","2014","二十五到六十四",17562595
"212","臺中市","2014","零到四",2321605
"213","臺中市","2014","六十五以上",6300139
"214","臺中市","2014","十五到二十四",2814937
"215","臺中市","2014","五到十四",3422913
"216","臺中市","2015","二十五到六十四",17314072
"217","臺中市","2015","零到四",2319780
"218","臺中市","2015","六十五以上",6456025
"219","臺中市","2015","十五到二十四",2722535
"220","臺中市","2015","五到十四",3040860
"221","臺中市","2016","二十五到六十四",17933242
"222","臺中市","2016","零到四",2436395
"223","臺中市","2016","六十五以上",6918870
"224","臺中市","2016","十五到二十四",2791515
"225","臺中市","2016","五到十四",3113435
"226","桃園市","2014","二十五到六十四",11478797
"227","桃園市","2014","零到四",1632499
"228","桃園市","2014","六十五以上",4041196
"229","桃園市","2014","十五到二十四",1724667
"230","桃園市","2014","五到十四",2383155
"231","桃園市","2015","二十五到六十四",11322575
"232","桃園市","2015","零到四",1597707
"233","桃園市","2015","六十五以上",4124352
"234","桃園市","2015","十五到二十四",1660654
"235","桃園市","2015","五到十四",2092518
"236","桃園市","2016","二十五到六十四",11680157
"237","桃園市","2016","零到四",1674861
"238","桃園市","2016","六十五以上",4350702
"239","桃園市","2016","十五到二十四",1687285
"240","桃園市","2016","五到十四",2161417
"241","新北市","2014","二十五到六十四",21612610
"242","新北市","2014","零到四",2987687
"243","新北市","2014","六十五以上",6969286
"244","新北市","2014","十五到二十四",3163397
"245","新北市","2014","五到十四",4420758
"246","新北市","2015","二十五到六十四",21253575
"247","新北市","2015","零到四",2944773
"248","新北市","2015","六十五以上",7293036
"249","新北市","2015","十五到二十四",3008946
"250","新北市","2015","五到十四",3804242
"251","新北市","2016","二十五到六十四",21828830
"252","新北市","2016","零到四",3048601
"253","新北市","2016","六十五以上",7832142
"254","新北市","2016","十五到二十四",3079428
"255","新北市","2016","五到十四",3840193
"256","新竹市","2014","二十五到六十四",3038470
"257","新竹市","2014","零到四",490439
"258","新竹市","2014","六十五以上",1037318
"259","新竹市","2014","十五到二十四",436756
"260","新竹市","2014","五到十四",616503
"261","新竹市","2015","二十五到六十四",3076954
"262","新竹市","2015","零到四",497066
"263","新竹市","2015","六十五以上",1071964
"264","新竹市","2015","十五到二十四",435208
"265","新竹市","2015","五到十四",560198
"266","新竹市","2016","二十五到六十四",3178082
"267","新竹市","2016","零到四",517721
"268","新竹市","2016","六十五以上",1125986
"269","新竹市","2016","十五到二十四",443878
"270","新竹市","2016","五到十四",590235
"271","新竹縣","2014","二十五到六十四",2094451
"272","新竹縣","2014","零到四",409388
"273","新竹縣","2014","六十五以上",813724
"274","新竹縣","2014","十五到二十四",330505
"275","新竹縣","2014","五到十四",582516
